Question,Relative Attention
"Tell me the story of your life. Start from the beginning -- from your childhood, to education, to family and relationships, and to any major life events you may have had.",625
"Was there a moment like that for you, and if so, could you tell me the whole story about that from start to finish?",235
"Some people tell us they made a conscious choice or decision in moments like these, while others say it 'just happened'. What about you?",50
Do you think another person or an organization could have lent a helping hand during moments like this?,40
"Tell me more about family who are important to you. Do you have a partner, or children?",310
"Are there anyone else in your immediate family whom you have not mentioned? Who are they, and what is your relationship with them like?",25
Tell me about anyone else in your life we haven’t discussed (like friends or romantic partners). Are there people outside of your family who are important to you?,80
Tell me all about the neighborhood and area in which you are living now.,105
"Some people say they feel really safe in their neighborhoods, others not so much. How about for you?",40
Living any place has its ups and downs. Tell me about what it’s been like for you living here.,40
"Tell me about the people who live with you right now, even people who are staying here temporarily.",80
"Is anyone in your household a temporary member, or is everyone a permanent member of the household?",10
"Tell me about anyone else who stays here from time to time, if there is anyone like that.",10
"Is there anyone who usually lives here but is away – traveling, at school, or in a hospital?",10
"Across a typical week, how do your days vary?",105
"At what kind of job or jobs do you work, and when do you work?",105
Do you have other routines or responsibilities that you did not already share?,80
Tell me about any recent changes to your daily routine.,80
"If you have children, tell me about a typical weekday during the school year for your children. What is their daily routine? And what are after school activities your children participate in?",80
Some people we’ve talked to tell us about experiences with law enforcement. How about for you?,80
What other experiences with law enforcement stand out in your mind?,40
"Some people tell us about experiences of arrest – of loved ones, family members, friends, or themselves. How about for you?",40
"Some people say they vote in every election, some tell us they don’t vote at all. How about you?",80
How would you describe your political views?,310
Tell me about any recent changes in your political views.,115
How have you been thinking about the issues Black Lives Matter raises?,105
How have you been thinking about race in the U.S. recently?,105
How have you responded to the increased focus on race and/or racism and policing?,50
What about people you’re close to? How have they responded to the increased focus on race and/or racism and policing?,80
Tell me all about your health.,80
"For you, what makes it easy or hard to stay healthy?",65
Tell me about anything big that has happened in the past two years related to your health.,80
"Sometimes, health problems get in the way. They can even affect people’s ability to work or care for their children. How about you?",50
Tell me what it has been like trying to get the health care you or your immediate family need.,80
Have you or your immediate family ever used alternative forms of medicine?,80
"During tough times, some people tell us they cope by smoking or drinking. How about for you?",80
"Other people say they cope by relying on prescriptions, marijuana, or other substances. How about for you?",80
"How are you and your family coping with, or paying for, your health care needs right now?",80
"Some people are excited about medical vaccination, and others, not so much. How about you?",50
What are your trusted sources of information about the vaccine?,80
Tell me about how you have been feeling in the past year.,115
Tell me a story about a time in the last year when you were in a rough place or struggling emotionally.,80
"Some people say they struggle with depression, anxiety, or something else. How about for you?",80
Some people say that religion or spirituality is important in their lives. How about you?,155
"How do you use Facebook, Instagram, or other social media?",115
Do you use Facebook or Twitter to get support during tough times?,50
"Tell me about recent changes in your level of stress, worry, and coping strategies.",50
Who are you living with right now?,25
What would it be like for you if you had to spend $400 for an emergency?,50
"Overall, how do you feel about your financial situation?",105
What do you hope for in your future?,155
What do you value the most in your life?,80
