"QID","Domain","Question"
"TEL-P1","TELOS-Problems","What conditions in the world genuinely trouble you — not as abstract concerns, but as things you feel personally called to address?"
"TEL-P2","TELOS-Problems","When you look at the people around you or society at large, what do you see broken or missing that you believe could be fixed?"
"TEL-P3","TELOS-Problems","Describe a moment when you witnessed a problem that made you think: someone should do something about this — and then realized that someone might be you."
"TEL-P4","TELOS-Problems","Which of the problems you care about feels most neglected or underserved by existing solutions?"
"TEL-P5","TELOS-Problems","How do you distinguish between problems you merely find interesting versus problems you feel a sense of personal responsibility toward?"
"TEL-P6","TELOS-Problems","If you could dedicate the rest of your working life to solving one problem, what would it be and why?"
"TEL-P7","TELOS-Problems","What kind of human suffering or dysfunction do you find hardest to witness or tolerate?"
"TEL-M1","TELOS-Mission","What is the single primary endeavor through which you address the problem you care most about?"
"TEL-M2","TELOS-Mission","How would you describe your life's work to someone who knows nothing about your field or background?"
"TEL-M3","TELOS-Mission","What would it mean for your mission to succeed — what would the world look like?"
"TEL-M4","TELOS-Mission","How has your sense of mission evolved over time, and what shaped those changes?"
"TEL-M5","TELOS-Mission","Where does your mission fit in relation to your work, your relationships, and your daily life — is it central or one thread among many?"
"TEL-N1","TELOS-Narratives","Write the single most important sentence that captures who you are and what you're trying to do in the world."
"TEL-N2","TELOS-Narratives","In two or three sentences, describe yourself — your problem, your approach, and why you're the one pursuing it."
"TEL-N3","TELOS-Narratives","In a short paragraph, tell the story of how you came to care about what you care about most."
"TEL-N4","TELOS-Narratives","How do you introduce yourself in professional settings — and how does that differ from how you'd introduce yourself to someone you want to know deeply?"
"TEL-N5","TELOS-Narratives","What story from your life best explains why you do what you do?"
"TEL-N6","TELOS-Narratives","If someone who knew you well were to describe what drives you, what would they say?"
"TEL-N7","TELOS-Narratives","What do you want people to understand about you that they usually don't get from a first impression or a resume?"
"TEL-G1","TELOS-Goals","What are the most important outcomes you're working toward in your professional life right now?"
"TEL-G2","TELOS-Goals","What personal outcomes — in health, relationships, growth, or lifestyle — are you actively working toward?"
"TEL-G3","TELOS-Goals","Which of your goals feel most alive and in-motion, and which feel stalled or neglected?"
"TEL-G4","TELOS-Goals","How do your professional goals and your personal goals reinforce or conflict with each other?"
"TEL-G5","TELOS-Goals","What does success look like for you in five years — what would need to be true for you to feel you'd made real progress?"
"TEL-G6","TELOS-Goals","Which goals you've previously set no longer fit who you are becoming, and what would it mean to release or revise them?"
"TEL-C1","TELOS-Challenges","What are the most concrete obstacles currently preventing you from making progress on your mission?"
"TEL-C2","TELOS-Challenges","Which of your challenges is internal — a habit, belief, or pattern you carry — versus external?"
"TEL-C3","TELOS-Challenges","What challenge keeps reappearing in your life despite your attempts to address it?"
"TEL-C4","TELOS-Challenges","What resources, relationships, or capabilities do you feel you're most lacking right now?"
"TEL-C5","TELOS-Challenges","What fear or risk most holds you back from taking the next step?"
"TEL-C6","TELOS-Challenges","What would you attempt if you knew the main obstacle in your way had been removed?"
"TEL-S1","TELOS-Strategies","For the challenge that matters most to you right now, what is your specific, concrete approach to addressing it?"
"TEL-S2","TELOS-Strategies","Walk me through the actual steps you're taking — or plan to take — to move toward your most important goal."
"TEL-S3","TELOS-Strategies","How do you decide where to focus your time and energy when you have competing priorities?"
"TEL-S4","TELOS-Strategies","What experiments or approaches have you tried in service of your mission that didn't work — and what did you learn?"
"TEL-S5","TELOS-Strategies","Who or what do you rely on as inputs to your strategy — mentors, frameworks, data, communities?"
"TEL-S6","TELOS-Strategies","How do you know when a strategy is working versus when it's time to change course?"
"TEL-J1","TELOS-Projects","What specific projects are you actively working on right now?"
"TEL-J2","TELOS-Projects","For each project you named, which challenge is it directly addressing and which strategy does it embody?"
"TEL-J3","TELOS-Projects","Which of your current projects feels most directly connected to your mission — and which feels furthest from it?"
"TEL-J4","TELOS-Projects","What project have you been putting off that you know would move the needle most if you actually did it?"
"TEL-J5","TELOS-Projects","How do you decide when a project is done enough versus when to keep refining it?"
"TEL-J6","TELOS-Projects","What project from your past are you most proud of, and what made it worth doing?"
